Seed,Fluted,Hibrid,Vampire
4286541443,1,2,0
1639941406,0,0,0
2031139705,1,1,0
3943429061,300000,300000,??
2528281296,4,1569,0
3608794534,2,2,0
3983161453,0,0,0
338751813,300000,300000,??
488165528,300000,300000,??
2385119894,1,1,0
942472352,300000,300000,??
1196684222,300000,300000,??
1451420153,1,1,0
2957995148,0,0,0
745381559,330000,13127,1
3745924601,5,11,24383
3896916862,2,2,0
2612242290,0,0,0
1526035805,296240,14,0
3723081316,10,5,0
1622766800,93,24,23
191633331,6,3,0
1754348626,300000,300000,??
566056206,300000,300000,??
3418819483,0,0,0
