Seed,Fluted,Hibrid,Vampire
924411050,0,0,0
234569965,0,0,0
4018298246,0,0,0
358802031,0,2,7
3829897754,1,6634,300000
924411050,1,0,0
234569965,0,0,0
4018298246,0,0,0
358802031,0,2,7
3829897754,1,6636,330000
3754289416,0,2,300000
3893109121,300000,6,1
1670510857,0,0,2
377863409,0,0,0
3126626172,0,0,11
1515247875,1,1,300000
416682000,204454,13,73644
2566861362,1,300000,??
3809590134,0,2,300000
713512006,0,0,300000
3436407844,0,0,0
1241266360,1,0,300000
3961965286,2,1,0
3051783341,2,5,330000
49274207,93273,5,300536
3034050637,0,0,0
2756172995,0,0,0
1311198501,0,0,0
3727766679,0,8950,330000
1134816473,1,0,300000
