Seed,Fluted,Hibrid,Vampire
12424882,300000,300000,400000
1404155916,4,1226,330000
1714155968,1,1,300000
3133832479,4,300000,400000
245563682,300000,330000,400000
1782712053,0,0,300000
272436847,0,0,0
3772460111,8,231518,66624
2579710233,300000,330000,400000
611016820,0,0,0
660823820,18,1,300000
2501620778,1,300000,400000
671492363,0,0,0
3897764752,0,0,300000
2059306843,0,0,0
1800257355,0,0,0
3020637682,0,0,0
2882957076,2,49,0
618984057,0,0,0
2651002137,300000,300000,400000
1835866872,300000,163,300000
2238606163,300000,330000,400000
931561397,330000,300000,400000
1391645719,300000,300000,400000
198193006,480,255600,1
