Seed,Fluted,Hibrid,Vampire
1092272574,0,0,0
1135369659,0,0,0
1639959839,1,0,0
1595788775,0,0,1
561275390,0,0,330000
2631565185,0,0,0
3567237049,5064,815,300000
50964102,282854,31,330000
2238281002,170,299117,330000
1384730717,1,1,330000
756955112,169,1,233
1886406357,0,15,300000
2579988931,0,0,0
2171788995,3,330000,400000
3838546285,0,0,0
1913138181,300000,300000,400000
434327944,1,0,1
3936807760,300000,300000,400000
537341362,1,0,0
2875505323,0,0,0
170504978,0,0,0
2039844275,300000,78259,330000
2732399509,0,0,2
3433339601,17,2,8
1718371763,1,2,330000
