Seed,Fluted,Hibrid,Vampire
3227146438,0,0,0
1920286752,1,0,0
2520338011,1,1,0
2232275227,32,50,0
1479695504,330000,330000,400000
1244802327,1,1,1
1395807059,1,2,0
1950678625,0,0,0
2915497811,4521,8,2
3123735482,0,0,0
1445604794,13280,66545,300000
3875191553,300000,300000,400000
2332406554,0,0,67
3793396838,0,0,0
2792662714,15,2,0
3272189461,1,6,0
3088627594,30,300000,400000
2287786311,22,2,0
2064315105,0,0,0
3101798553,0,1,0
144929046,9,287,48
534231046,0,0,0
577082834,300000,300000,400000
365754164,330000,300000,400000
4000960361,274504,300000,400000
