Seed,Fluted,Hibrid,Vampire
2076345870,0,0,0
2187777343,0,0,15
3725455766,0,0,0
1306824853,0,0,0
1620029721,0,2,0
1101317780,0,1,50
974056111,0,0,0
89168459,300000,14476,233857
970895551,0,0,0
2341892637,0,0,184409
1626369628,0,0,300000
3155846277,300000,300000,400000
891404124,0,0,3749
2305397659,300000,300000,400000
66646735,0,0,0
1432035934,330000,184717,300000
316279242,0,0,0
127010635,0,0,1971
2171372716,0,300000,400000
2594385253,0,0,0
2691347125,0,0,0
3255918527,0,0,0
3596358984,0,0,300000
3108645629,300000,66796,300000
3088847106,0,0,0
