Seed,Fluted,Hibrid,Vampire
4240174975,3,98973,13
4058224058,0,0,0
553849189,5,12,330000
1873861063,0,0,0
1214534229,300000,6,89607
2024880151,300000,838,18
124676900,5,6,300000
2056746649,294921,3,0
2178186075,300000,23,300000
628299159,19042,300000,400000
3447780793,300000,300000,400000
2183581774,300000,300000,400000
2558339820,0,0,0
3259731428,5,0,0
3720905241,1655,300000,400000
2710087932,426,89041,330000
1484597906,300000,300000,400000
1471556619,0,0,0
971894312,300000,300000,400000
777588321,73,221670,0
4089076016,9069,211281,300000
4073692101,1003,300000,400000
522743490,159991,300000,400000
641490875,300000,300000,400000
3423429907,0,0,0
