Seed,Fluted,Hibrid,Vampire
1874669356,0,0,6385
608981594,300000,300000,??
648808901,0,0,0
2067099362,0,0,300000
1128505413,0,300000,??
3725476619,0,0,0
1100935708,0,0,330000
538245447,0,0,0
631086308,0,0,0
2061549738,0,11,0
665297160,0,0,330000
1955282445,0,0,300000
1611743805,0,15,330000
2962188003,0,0,300000
1582339950,0,0,11473
1258110412,0,0,0
383937964,1,0,300000
3620950592,0,0,0
163124909,0,0,300000
2959578357,0,0,34611
925296091,0,0,300000
262821923,0,0,0
1616215216,0,0,300000
488027602,0,0,330000
4008160754,0,19,300000
