Seed,Fluted,Hibrid,Vampire
4215795230,0,0,300000
4183437081,0,0,94597
3446297263,0,5,0
3185841630,0,0,300000
3327301355,0,0,300000
1973641381,0,0,300000
127583476,0,0,0
3565369139,0,0,300000
553428927,0,0,330000
2057983106,0,0,300000
3258251194,0,0,0
352877845,1,0,300000
3577234540,0,0,0
1453584963,0,300000,??
2564440768,0,0,0
2990693585,0,0,3083
964640402,0,0,330000
130026553,0,0,0
3381923965,0,0,330000
4067898484,0,0,0
3770047668,0,0,4519
696145749,0,0,0
4262208290,0,0,0
532594960,0,0,300000
1735118408,1,330000,??
