Seed,Fluted,Hibrid,Vampire
61847520,0,0,0
3541269623,0,0,0
3130504167,0,0,0
550627151,0,0,0
1874919874,0,0,0
2688874755,0,1,330000
2919023277,0,0,0
3515671597,0,0,0
1407491159,0,0,300000
1984819016,5047,3,300000
266665594,1,0,300000
1911038308,0,0,28670
3664107160,0,0,2
223700909,0,0,300000
4256201227,0,0,0
766541457,0,0,330000
1155469803,0,0,12289
2404196111,0,0,0
1092948058,0,0,1
225779358,4,2,0
3645506134,1,1,300000
3519069017,1,0,0
4030753877,0,0,0
2604525575,0,0,36759
1386031945,5,2,300000
