Seed,Fluted,Hibrid,Vampire
410652483,300000,300000,??
578324290,1,1,0
1485247158,0,0,0
410652483,300000,300000,??
578324290,1,1,0
1485247158,0,0,0
2701782396,300000,300000,??
2331243298,300000,300000,??
1269573613,0,0,0
1233964704,4,1,281488
285841556,2,1,300000
950044760,300000,300000,??
4032255934,0,0,0
3155299174,0,0,0
3773598807,0,0,0
696766424,0,0,0
1843841329,1,1,300000
3412810504,0,0,0
2146334872,2,292217,300000
3408258526,2,276908,330000
2319221646,0,0,0
18027583,130,300000,??
2911849556,0,0,0
3342862099,0,0,0
738753744,0,0,0
1829188594,0,0,0
463445134,300000,300000,??
195784603,300000,300000,??
