Seed,Fluted,Hibrid,Vampire
248839512,0,0,0
2790180770,0,0,300000
2236440842,1,6,0
1879597734,0,2,0
1935283934,0,0,0
4007735570,2,0,5
237552934,1,0,141
1127228878,0,0,0
3114181686,330000,300000,??
1682067749,0,0,0
1559779803,0,0,0
324577950,0,0,0
592744963,0,0,0
1939588931,0,0,0
2616491548,0,0,300000
604571574,128,18,0
2502463544,1,1,300000
3747749381,330000,300000,??
2197565438,0,1,0
4180337985,0,0,0
3312111098,0,0,0
1907524341,0,0,0
1894707644,0,0,0
3833428782,0,0,0
1318682574,300000,300000,??
