Seed,Fluted,Hibrid,Vampire
3861118652,295260,300000,??
12156548,0,0,0
1311166270,0,0,0
4008863243,0,0,0
518174585,0,0,300000
2576079446,0,0,300000
3706170096,0,0,0
3881898419,0,0,0
374209799,0,0,348
2384076503,0,0,330000
281867481,0,0,0
249890257,300000,300000,??
1708340413,1,0,330000
741635128,0,0,300000
824593188,0,0,0
3597805958,0,0,330000
403908137,34,51,330000
700268154,0,0,0
2732383724,0,0,230808
3007226634,3,265276,300000
157550634,1,1963,300000
2051564156,0,6920,330000
456251094,0,0,0
2247254596,0,0,330000
2471734511,0,0,0
